apple
banana
aunt
baby
basket
age
army
beatiful
cake
central
cloth
circle
coffee
cup
cry
dance
singer
electric
education
enemy
elephant
duck
dream
door
down
forest
freedom
football
basketball
game
garden
grandfather
hair
head
healthy
theatre
iron
jump
knee
knife
king
queen
key
kid
idea
important
island
hospital
kitchen
machine
mouth
month
mountain
money
music
mane
neighbour
object
orange
perfect
party
radio
soap
simple
summer
water
zoo
young
weather
yesterday
